"","release","id","rg","ctr_n","ctr","yr","mn","sub","cst_n","cst","mag","pty_n","pty","can","pev1","vot1","vv1","ivv1","to1","cv1","cvs1","pv1","pvs1","pev2","vot2","vv2","ivv2","to2","cv2","cvs2","pv2","pvs2","seat"
"1",1,20,"Africa","Cameroon",120,1997,5,"-990","bamboutos",1,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",72951,-990,62269,-990,-990,-990,-990,9776,0.156996265053749,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"2",1,20,"Africa","Cameroon",120,1997,5,"-990","bamboutos",1,-990,"others",4000,"-990",72951,-990,62269,-990,-990,-990,-990,9552,0.153398960828781,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"3",1,20,"Africa","Cameroon",120,1997,5,"-990","bamboutos",1,-990,"Front Social-Démocratique",11,"-990",72951,-990,62269,-990,-990,-990,-990,42940,0.689588725566864,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"4",1,20,"Africa","Cameroon",120,1997,5,"-990","benoué (4 circonscriptions)",2,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",165080,-990,118539,-990,-990,-990,-990,48363,0.407992303371429,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"5",1,20,"Africa","Cameroon",120,1997,5,"-990","benoué (4 circonscriptions)",2,-990,"mouvement démocratique pour la défense de la république",4,"-990",165080,-990,118539,-990,-990,-990,-990,7373,0.0621989369392395,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"6",1,20,"Africa","Cameroon",120,1997,5,"-990","benoué (4 circonscriptions)",2,-990,"others",4000,"-990",165080,-990,118539,-990,-990,-990,-990,6780,0.0571963675320148,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"7",1,20,"Africa","Cameroon",120,1997,5,"-990","benoué (4 circonscriptions)",2,-990,"union nationale pour la démocratie et le progrès",17,"-990",165080,-990,118539,-990,-990,-990,-990,56021,0.472595512866974,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"8",1,20,"Africa","Cameroon",120,1997,5,"-990","boumba-et-ngoko",3,-990,"Front Social-Démocratique",11,"-990",20977,-990,16174,-990,-990,-990,-990,1392,0.0860640555620193,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"9",1,20,"Africa","Cameroon",120,1997,5,"-990","boumba-et-ngoko",3,-990,"union nationale pour la démocratie et le progrès",17,"-990",20977,-990,16174,-990,-990,-990,-990,4447,0.274947434663773,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"10",1,20,"Africa","Cameroon",120,1997,5,"-990","boumba-et-ngoko",3,-990,"others",4000,"-990",20977,-990,16174,-990,-990,-990,-990,2375,0.1468406021595,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"11",1,20,"Africa","Cameroon",120,1997,5,"-990","boumba-et-ngoko",3,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",20977,-990,16174,-990,-990,-990,-990,7957,0.491962403059006,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"12",1,20,"Africa","Cameroon",120,1997,5,"-990","boyo",4,-990,"others",4000,"-990",26462,-990,22434,-990,-990,-990,-990,1462,0.0651689395308495,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"13",1,20,"Africa","Cameroon",120,1997,5,"-990","boyo",4,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",26462,-990,22434,-990,-990,-990,-990,3082,0.137380763888359,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"14",1,20,"Africa","Cameroon",120,1997,5,"-990","boyo",4,-990,"Front Social-Démocratique",11,"-990",26462,-990,22434,-990,-990,-990,-990,17888,0.797361135482788,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"15",1,20,"Africa","Cameroon",120,1997,5,"-990","bui",5,-990,"Front Social-Démocratique",11,"-990",52791,-990,43773,-990,-990,-990,-990,34304,0.7836794257164,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"16",1,20,"Africa","Cameroon",120,1997,5,"-990","bui",5,-990,"others",4000,"-990",52791,-990,43773,-990,-990,-990,-990,1041,0.0237817838788032,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"17",1,20,"Africa","Cameroon",120,1997,5,"-990","bui",5,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",52791,-990,43773,-990,-990,-990,-990,8426,0.192493095993996,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"18",1,20,"Africa","Cameroon",120,1997,5,"-990","diamaré (4 circonscriptions)",6,-990,"union nationale pour la démocratie et le progrès",17,"-990",164727,-990,115942,-990,-990,-990,-990,47072,0.405996114015579,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"19",1,20,"Africa","Cameroon",120,1997,5,"-990","diamaré (4 circonscriptions)",6,-990,"others",4000,"-990",164727,-990,115942,-990,-990,-990,-990,8011,0.0690948888659477,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"20",1,20,"Africa","Cameroon",120,1997,5,"-990","diamaré (4 circonscriptions)",6,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",164727,-990,115942,-990,-990,-990,-990,53681,0.462998747825623,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"21",1,20,"Africa","Cameroon",120,1997,5,"-990","diamaré (4 circonscriptions)",6,-990,"alliance nationale pour la démocratie et le progrès",1,"-990",164727,-990,115942,-990,-990,-990,-990,7176,0.0618930160999298,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"22",1,20,"Africa","Cameroon",120,1997,5,"-990","dja-et-lobo",7,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",67778,-990,63957,-990,-990,-990,-990,63010,0.985193192958832,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"23",1,20,"Africa","Cameroon",120,1997,5,"-990","dja-et-lobo",7,-990,"others",4000,"-990",67778,-990,63957,-990,-990,-990,-990,946,0.0147911878302693,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"24",1,20,"Africa","Cameroon",120,1997,5,"-990","djérem",8,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",18965,-990,14478,-990,-990,-990,-990,8542,0.589998602867126,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"25",1,20,"Africa","Cameroon",120,1997,5,"-990","djérem",8,-990,"union nationale pour la démocratie et le progrès",17,"-990",18965,-990,14478,-990,-990,-990,-990,5478,0.378367185592651,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"26",1,20,"Africa","Cameroon",120,1997,5,"-990","djérem",8,-990,"others",4000,"-990",18965,-990,14478,-990,-990,-990,-990,457,0.0315651334822178,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"27",1,20,"Africa","Cameroon",120,1997,5,"-990","donga-mantung",9,-990,"Front Social-Démocratique",11,"-990",59719,-990,49191,-990,-990,-990,-990,35663,0.724990367889404,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"28",1,20,"Africa","Cameroon",120,1997,5,"-990","donga-mantung",9,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",59719,-990,49191,-990,-990,-990,-990,13306,0.270496636629105,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"29",1,20,"Africa","Cameroon",120,1997,5,"-990","donga-mantung",9,-990,"others",4000,"-990",59719,-990,49191,-990,-990,-990,-990,221,0.0044926917180419,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"30",1,20,"Africa","Cameroon",120,1997,5,"-990","fako (3 circonscriptions)",10,-990,"Front Social-Démocratique",11,"-990",94000,-990,71012,-990,-990,-990,-990,39191,0.551892638206482,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"31",1,20,"Africa","Cameroon",120,1997,5,"-990","fako (3 circonscriptions)",10,-990,"others",4000,"-990",94000,-990,71012,-990,-990,-990,-990,2591,0.0364867895841599,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"32",1,20,"Africa","Cameroon",120,1997,5,"-990","fako (3 circonscriptions)",10,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",94000,-990,71012,-990,-990,-990,-990,29228,0.411592394113541,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"33",1,20,"Africa","Cameroon",120,1997,5,"-990","faro",11,-990,"union nationale pour la démocratie et le progrès",17,"-990",19349,-990,13886,-990,-990,-990,-990,5844,0.420855551958084,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"34",1,20,"Africa","Cameroon",120,1997,5,"-990","faro",11,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",19349,-990,13886,-990,-990,-990,-990,6872,0.494886934757233,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"35",1,20,"Africa","Cameroon",120,1997,5,"-990","faro",11,-990,"others",4000,"-990",19349,-990,13886,-990,-990,-990,-990,1169,0.0841855108737946,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"36",1,20,"Africa","Cameroon",120,1997,5,"-990","faro-et-déo",12,-990,"Front Social-Démocratique",11,"-990",14264,-990,10829,-990,-990,-990,-990,1552,0.143318861722946,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"37",1,20,"Africa","Cameroon",120,1997,5,"-990","faro-et-déo",12,-990,"union nationale pour la démocratie et le progrès",17,"-990",14264,-990,10829,-990,-990,-990,-990,6301,0.581863522529602,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"38",1,20,"Africa","Cameroon",120,1997,5,"-990","faro-et-déo",12,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",14264,-990,10829,-990,-990,-990,-990,4266,0.393942207098007,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"39",1,20,"Africa","Cameroon",120,1997,5,"-990","haute-sanaga",13,-990,"others",4000,"-990",31317,-990,27541,-990,-990,-990,-990,2685,0.0974910110235214,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"40",1,20,"Africa","Cameroon",120,1997,5,"-990","haute-sanaga",13,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",31317,-990,27541,-990,-990,-990,-990,22231,0.80719655752182,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"41",1,20,"Africa","Cameroon",120,1997,5,"-990","haute-sanaga",13,-990,"union nationale pour la démocratie et le progrès",17,"-990",31317,-990,27541,-990,-990,-990,-990,2624,0.0952761322259903,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"42",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nkam",14,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",47111,-990,36507,-990,-990,-990,-990,8758,0.239899203181267,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"43",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nkam",14,-990,"others",4000,"-990",47111,-990,36507,-990,-990,-990,-990,3563,0.0975977182388306,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"44",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nkam",14,-990,"union des forces démocratiques du cameroun",13,"-990",47111,-990,36507,-990,-990,-990,-990,6399,0.175281450152397,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"45",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nkam",14,-990,"Front Social-Démocratique",11,"-990",47111,-990,36507,-990,-990,-990,-990,15427,0.422576487064362,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"46",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nkam",14,-990,"union nationale pour la démocratie et le progrès",17,"-990",47111,-990,36507,-990,-990,-990,-990,2358,0.0645903497934341,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"47",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nyong",15,-990,"others",4000,"-990",55871,-990,47580,-990,-990,-990,-990,3806,0.0799915939569473,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
"48",1,20,"Africa","Cameroon",120,1997,5,"-990","haut-nyong",15,-990,"rassemblement démocratique  du peuple camerounais",10,"-990",55871,-990,47580,-990,-990,-990,-990,35052,0.736696064472198,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990
