Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
GSM,645,3,130,3282,0,28.070755,-14.90226746,1000,1,1,1459743588,1459743588,0
GSM,645,3,10004,62893,0,28.274914,-15.471539,2822,62,1,1459772900,1563083742,0
GSM,645,2,11108,2972,0,28.330014,-15.439281,6474,139,1,1459774040,1601638171,0
GSM,645,3,10004,62892,0,28.287916,-15.470468,1300,62,1,1459772900,1564057707,0
GSM,645,3,1,33083,0,28.253038,-15.461476,1000,64,1,1369370001,1369383128,0
GSM,645,3,1,33081,0,28.251343,-15.452957,1000,2,1,1369353306,1369353306,0
GSM,645,3,1,33933,0,28.249741,-15.445175,1000,3,1,1369353496,1369353496,0
GSM,645,3,1,32221,0,28.252716,-15.439224,1000,2,1,1369353852,1369353852,0
GSM,645,3,1,33932,0,28.255325,-15.436752,1000,5,1,1369353888,1369353888,0
GSM,645,3,1,31662,0,28.258072,-15.434555,1000,5,1,1369353960,1369353960,0
GSM,645,3,1,32453,0,28.25752258,-15.42961121,1000,1,1,1369353924,1369353924,0
GSM,645,3,1,31762,0,28.257828,-15.424118,1000,9,1,1369354351,1369354351,0
GSM,645,3,1,31513,0,28.26850891,-15.40901184,1000,1,1,1369354596,1369354596,0
GSM,645,3,1,31641,0,28.275664,-15.413098,1000,81,1,1369372147,1369372147,0
GSM,645,3,1,31644,0,28.275768,-15.413132,1000,7,1,1369372103,1369372103,0
GSM,645,3,1,31514,0,28.27537537,-15.41313171,1000,1,1,1369370704,1369370704,0
GSM,645,3,1,31624,0,28.27812195,-15.41999817,1000,1,1,1369372365,1369372365,0
GSM,645,3,1,31621,0,28.27812195,-15.42274475,1000,1,1,1369372409,1369372409,0
GSM,645,3,1,31623,0,28.27949524,-15.42686462,1000,1,1,1369372557,1369372557,0
GSM,645,3,1,31622,0,28.281212,-15.430985,1000,4,1,1369372865,1369372865,0
GSM,645,3,1,31626,0,28.27674866,-15.43647766,1000,1,1,1369372880,1369372880,0
GSM,645,3,1,32452,0,28.266037,-15.453232,1000,5,1,1369373712,1369373712,0
GSM,645,3,1,31601,0,28.25340271,-15.46257019,1000,5,1,1369380557,1369380557,0
GSM,645,3,1,32222,0,28.25340271,-15.46257019,1000,2,1,1369379984,1369379984,0
GSM,645,2,20003,551,0,26.250705,-17.252749,8772,6,1,1459699182,1674959415,0
GSM,645,1,10119,31421,0,31.316682,-9.239495,13483,3,1,1459768212,1503554998,0
GSM,645,2,10112,30262,0,28.23555,-12.813034,1000,3,1,1223547487,1223547487,0
GSM,645,2,10112,30104,0,28.204561,-12.80983,9422,69,1,1223547491,1223547491,0
GSM,645,2,10112,30503,0,28.20121765,-12.80937195,1000,8,1,1223547489,1223547489,0
GSM,645,2,10112,30101,0,28.203811,-12.810822,10472,18,1,1223547489,1223547489,0
GSM,645,2,10112,30506,0,28.210391,-12.812449,7927,25,1,1223547491,1223547491,0
GSM,645,3,2,40303,0,28.64891052,-12.97279358,1000,1,1,1239145879,1239145879,0
GSM,645,2,10103,291,0,28.3921051,-15.36369324,1000,1,1,1239145881,1239145881,0
GSM,645,1,350,2174,0,25.8556366,-17.84797668,1000,9,1,1239145881,1239145881,0
GSM,645,1,350,2171,0,25.8556366,-17.84797668,1000,1,1,1239145881,1239145881,0
GSM,645,1,120,8087,0,28.27537537,-15.35545349,1000,1,1,1239145881,1239145881,0
GSM,645,1,120,269,0,28.281156,-15.429152,45100,2000,1,1239165681,1502518691,0
