"release","id","rg","ctr_n","ctr","yr","mn","sub","cst_n","cst","mag","pty_n","pty","can","pev1","vot1","vv1","ivv1","to1","cv1","cvs1","pv1","pvs1","pev2","vot2","vv2","ivv2","to2","cv2","cvs2","pv2","pvs2","seat"
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BAHATI",1,1,"Patriotic Front",23,"KALABA Harry",43827,22693,22222,471,0.517785839779132,18166,0.817478174781748,18166,0.817478174781748,-990,-990,-990,-990,-990,-990,-990,-990,-990,1
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BAHATI",1,1,"United Party for National Development",29,"LUSAKA Makuwa A",43827,22693,22222,471,0.517785839779132,4056,0.182521825218252,4056,0.182521825218252,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BANGWEULU",2,1,"Rainbow Party",46,"MWANSA Robby",54391,29979,28961,1018,0.551175745987388,228,0.0078726563309278,228,0.0078726563309278,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BANGWEULU",2,1,"Patriotic Front",23,"KASANDWE Anthony",54391,29979,28961,1018,0.551175745987388,18430,0.636373053416664,18430,0.636373053416664,-990,-990,-990,-990,-990,-990,-990,-990,-990,1
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BANGWEULU",2,1,"United Party for National Development",29,"CHINAMA Prudence M",54391,29979,28961,1018,0.551175745987388,2040,0.0704395566451435,2040,0.0704395566451435,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BANGWEULU",2,1,"Independent",6032,"KASONGO Joseph C",54391,29979,28961,1018,0.551175745987388,876,0.030247574324091,876,0.030247574324091,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"LUAPULA","BANGWEULU",2,1,"Forum for Democracy and Development",7,"SHABANI Sally M",54391,29979,28961,1018,0.551175745987388,7387,0.255067159283174,7387,0.255067159283174,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"CENTRAL","BWACHA",3,1,"Patriotic Front",23,"MUSHANGA Sydney",46642,24524,23915,609,0.525792204450924,14641,0.612209910098265,14641,0.612209910098265,-990,-990,-990,-990,-990,-990,-990,-990,-990,1
11,1778,"Africa","Zambia",894,2016,8,"CENTRAL","BWACHA",3,1,"United Party for National Development",29,"CHIBWANA Saidi",46642,24524,23915,609,0.525792204450924,8114,0.339284967593561,8114,0.339284967593561,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
11,1778,"Africa","Zambia",894,2016,8,"CENTRAL","BWACHA",3,1,"Movement for Multi-Party Democracy",11,"CHIMOTO Boniface",46642,24524,23915,609,0.525792204450924,474,0.0198201965293749,474,0.0198201965293749,-990,-990,-990,-990,-990,-990,-990,-990,-990,0
